,Alimento,Proteinas,Grasas,Carbohidratos,Horario,Ingredientes,Horario_1,Horario_2,Calorias_Total_100g,Image_url
0,Causa de pollo,3.4,4.6,16.4,Almuerzo-Cena,POLLO-PAPA-PALTA,Almuerzo,Cena,120.6,https://cocinaperuana.espaciolatino.com/recetas-tipicas/img600/causa-verduras.jpg
1,Causa rellena de atún,3.2,3.4,12.9,Almuerzo-Cena,ATUN-POLLO-PALTA,Almuerzo,Cena,95.0,https://img-global.cpcdn.com/recipes/recipes_6879_v1393346336_receta_foto_00006879/400x400cq70/photo.jpg
2,Cebiche de pescado con chicharron de pota,6.9,2.7,24.8,Almuerzo,PESCADO-HUEVO,Almuerzo,,151.1,https://www.comeperuano.pe/wp-content/uploads/2020/08/receta-chicharron-de-pota.jpg
3,Palta rellena,3.7,3.6,14.3,Almuerzo-Cena,PALTA- POLLO-ATUN,Almuerzo,Cena,104.4,https://buenazo.cronosmedia.glr.pe/original/2020/09/21/5f693c0082a49027727efc8f.jpg
4,Papa rellena con ensalada,3.3,6.0,17.6,Almuerzo-Cena,PAPA-CARNE,Almuerzo,Cena,137.6,https://decomidaperuana.com/wp-content/uploads/2019/03/papa-rellena-1.jpg
5,Adobo de cerdo y arroz,6.3,1.9,31.8,Almuerzo-Cena,CERDO-ARROZ,Almuerzo,Cena,169.5,https://www.comeperuano.pe/wp-content/uploads/2020/04/receta-adobo-de-chancho..jpg
6,Adobo de cerdo con menestra y arroz,9.7,3.4,23.8,Almuerzo,CERDO-LENTEJA-ARROZ,Almuerzo,,164.6,https://t2.rg.ltmcdn.com/es/posts/2/0/7/frijoles_rojos_con_manitas_de_cerdo_51702_600_square.jpg
7,Adobo de pollo y arroz,8.1,1.4,21.1,Almuerzo-Cena,POLLO-ARROZ,Almuerzo,Cena,129.4,https://comidasperuanas.net/wp-content/uploads/2020/11/Adobo-de-pollo.jpg
8,Adobo de pollo con ensalada y arroz,4.9,2.2,26.0,Almuerzo,POLLO-ARROZ,Almuerzo,,143.4,https://www.hola.com/imagenes/cocina/recetas/2010012012445/pollo/adobado/ensalada-patata/0-632-748/muslos-pollo-adobado--t.jpg
9,Aji de pollo y arroz,4.9,3.7,25.4,Almuerzo,POLLO-ARROZ-PAN,Almuerzo,,154.5,https://www.comedera.com/wp-content/uploads/2013/10/aji-de-gallina.jpg
10,Anticucho con papa y arroz,9.8,3.3,10.3,Almuerzo-Cena,PAPA-ARROZ-CARNE,Almuerzo,Cena,110.1,https://image.shutterstock.com/image-photo/anticuchos-peruvian-cuisine-grilled-skewered-260nw-185287433.jpg
11,Arroz con frejol y seco de res,6.9,2.2,22.2,Almuerzo-Cena,FREJOL-RES-ARROZ,Almuerzo,Cena,136.2,https://img-global.cpcdn.com/recipes/b86595cfc7be1b6c/400x400cq70/photo.jpg
12,Arroz con frejoles y seco de pollo,7.7,1.4,17.8,Almuerzo-Cena,FRIJOL-POLLO-ARROZ,Almuerzo,Cena,114.6,https://img-global.cpcdn.com/recipes/f811cb3dbf2ae470/400x400cq70/photo.jpg
13,Arroz con mariscos,6.9,2.7,21.2,Almuerzo-Cena,PESCADO-ARROZ,Almuerzo,Cena,136.7,https://www.daliufa.ru/wp-content/uploads/2015/11/Arroz-con-mariscos.jpg
